corpid,campaign_id,strategy,updated_time,file_name,drops,checking,cd,money_market,checking_client_households,cd_client_households,money_market_client_households,checking_zip_households,cd_zip_households,money_market_zip_households,checking_penetration,cd_penetration,money_market_penetration,cd_segments,checking_segments,money_market_segments
94475,9e5c875e-0110-1,Comprehensive Strategy,2023-08-10,94475_MCIF_20230810.csv,511,14,35,19,454,186,161,2390,496,1244,0.19,0.375,0.1294,High,Med,Med
94475,9e5c875e-0110-2,Comprehensive Strategy,2023-11-08,94475_MCIF_20231108.csv,761,61,26,22,512,166,194,1060,1041,889,0.483,0.1595,0.2182,High,Med,Med
94475,9e5c875e-0110-3,Comprehensive Strategy,2024-02-06,94475_MCIF_20240206.csv,433,24,21,16,721,254,427,2319,793,783,0.3109,0.3203,0.5453,Low,Med,High
94476,9e5c875e-0111-1,Comprehensive Strategy,2023-08-17,94476_MCIF_20230817.csv,517,34,21,7,521,273,390,2068,591,1478,0.2519,0.4619,0.2639,Low,Med,High
94476,9e5c875e-0111-2,Comprehensive Strategy,2023-11-15,94476_MCIF_20231115.csv,738,56,32,9,732,325,431,2705,1284,1134,0.2706,0.2531,0.3801,Low,Med,Low
94477,9e5c875e-0112-1,Comprehensive Strategy,2023-08-24,94477_MCIF_20230824.csv,497,26,17,31,618,217,286,2545,719,1721,0.2428,0.3018,0.1662,Low,Med,Low
94477,9e5c875e-0112-2,Comprehensive Strategy,2023-11-22,94477_MCIF_20231122.csv,735,10,24,23,378,365,371,1494,980,1793,0.253,0.3724,0.2069,High,Med,Low
94477,9e5c875e-0112-3,Comprehensive Strategy,2024-02-20,94477_MCIF_20240220.csv,408,75,35,55,529,288,306,1934,1179,1043,0.2735,0.2443,0.2934,Low,High,Low
94477,9e5c875e-0112-4,Comprehensive Strategy,2024-05-20,94477_MCIF_20240520.csv,227,21,20,48,286,195,343,2145,1043,1329,0.1333,0.187,0.2581,Med,High,High
94478,9e5c875e-0113-1,Comprehensive Strategy,2023-08-31,94478_MCIF_20230831.csv,491,59,36,30,274,283,292,2063,1072,990,0.1328,0.264,0.2949,High,High,Low
94478,9e5c875e-0113-2,Comprehensive Strategy,2023-11-29,94478_MCIF_20231129.csv,680,76,34,8,205,104,478,1575,528,1138,0.1302,0.197,0.42,Low,High,High
94478,9e5c875e-0113-3,Comprehensive Strategy,2024-02-27,94478_MCIF_20240227.csv,433,50,33,44,667,118,490,2118,1001,1877,0.3149,0.1179,0.2611,Low,Low,Med
94479,9e5c875e-0114-1,Comprehensive Strategy,2023-09-07,94479_MCIF_20230907.csv,500,66,9,50,483,316,328,2266,760,1190,0.2132,0.4158,0.2756,Med,High,Med
94479,9e5c875e-0114-2,Comprehensive Strategy,2023-12-06,94479_MCIF_20231206.csv,742,39,29,49,543,213,356,1208,554,964,0.4495,0.3845,0.3693,High,Low,High
94479,9e5c875e-0114-3,Comprehensive Strategy,2024-03-05,94479_MCIF_20240305.csv,428,63,8,18,265,262,288,1442,1017,1542,0.1838,0.2576,0.1868,Med,Med,Low
94479,9e5c875e-0114-4,Comprehensive Strategy,2024-06-03,94479_MCIF_20240603.csv,235,48,29,59,220,344,274,1696,550,1294,0.1297,0.6255,0.2117,Med,Low,Low
94479,9e5c875e-0114-5,Comprehensive Strategy,2024-09-01,94479_MCIF_20240901.csv,129,65,36,6,759,358,192,2258,782,1050,0.3361,0.4578,0.1829,Med,Med,Low
94480,9e5c875e-0115-1,Comprehensive Strategy,2023-09-14,94480_MCIF_20230914.csv,500,64,13,60,603,353,368,2460,580,839,0.2451,0.6086,0.4386,Med,High,High
94480,9e5c875e-0115-2,Comprehensive Strategy,2023-12-13,94480_MCIF_20231213.csv,748,53,29,22,466,244,247,1399,909,1216,0.3331,0.2684,0.2031,Med,Med,High
94480,9e5c875e-0115-3,Comprehensive Strategy,2024-03-12,94480_MCIF_20240312.csv,471,38,46,9,681,59,463,2285,312,1479,0.298,0.1891,0.313,Low,High,High
94480,9e5c875e-0115-4,Comprehensive Strategy,2024-06-10,94480_MCIF_20240610.csv,300,26,35,47,453,152,90,2225,508,878,0.2036,0.2992,0.1025,High,Low,High
94480,9e5c875e-0115-5,Comprehensive Strategy,2024-09-08,94480_MCIF_20240908.csv,175,30,24,11,676,181,472,1931,552,1006,0.3501,0.3279,0.4692,Low,High,Med
94481,9e5c875e-0116-1,Comprehensive Strategy,2023-09-21,94481_MCIF_20230921.csv,515,15,27,39,448,102,436,1565,1002,983,0.2863,0.1018,0.4435,Med,Low,Med
94481,9e5c875e-0116-2,Comprehensive Strategy,2023-12-20,94481_MCIF_20231220.csv,778,72,11,32,270,309,411,1468,521,1571,0.1839,0.5931,0.2616,Med,Low,Med
94481,9e5c875e-0116-3,Comprehensive Strategy,2024-03-19,94481_MCIF_20240319.csv,423,78,35,34,356,272,170,1924,1138,1023,0.185,0.239,0.1662,Med,Low,Low
94481,9e5c875e-0116-4,Comprehensive Strategy,2024-06-17,94481_MCIF_20240617.csv,250,41,34,41,474,215,205,1151,700,1428,0.4118,0.3071,0.1436,Low,Low,Med
94481,9e5c875e-0116-5,Comprehensive Strategy,2024-09-15,94481_MCIF_20240915.csv,154,37,27,56,544,64,333,1709,450,1631,0.3183,0.1422,0.2042,Med,Med,Med
94482,9e5c875e-0117-1,Comprehensive Strategy,2023-09-28,94482_MCIF_20230928.csv,525,72,33,55,616,300,364,1608,1207,1639,0.3831,0.2486,0.2221,High,High,Med
94482,9e5c875e-0117-2,Comprehensive Strategy,2023-12-27,94482_MCIF_20231227.csv,725,57,35,40,426,257,434,1424,770,1925,0.2992,0.3338,0.2255,Low,Med,Med
94482,9e5c875e-0117-3,Comprehensive Strategy,2024-03-26,94482_MCIF_20240326.csv,459,49,21,19,763,219,260,2702,883,1114,0.2824,0.248,0.2334,High,Low,High
94482,9e5c875e-0117-4,Comprehensive Strategy,2024-06-24,94482_MCIF_20240624.csv,243,34,18,52,523,111,460,2120,1091,1139,0.2467,0.1017,0.4039,Med,Med,Low
94483,9e5c875e-0118-1,Comprehensive Strategy,2023-10-05,94483_MCIF_20231005.csv,496,15,8,40,509,57,442,2102,386,1303,0.2422,0.1477,0.3392,Med,Low,High
94483,9e5c875e-0118-2,Comprehensive Strategy,2024-01-03,94483_MCIF_20240103.csv,742,71,33,26,702,102,86,2377,593,1347,0.2953,0.172,0.0638,High,High,Med
94483,9e5c875e-0118-3,Comprehensive Strategy,2024-04-02,94483_MCIF_20240402.csv,412,19,41,45,689,108,500,1322,718,1807,0.5212,0.1504,0.2767,Low,High,High
94483,9e5c875e-0118-4,Comprehensive Strategy,2024-07-01,94483_MCIF_20240701.csv,232,63,43,43,352,338,235,1026,792,777,0.3431,0.4268,0.3024,Low,High,Low
94484,9e5c875e-0119-1,Comprehensive Strategy,2023-10-12,94484_MCIF_20231012.csv,518,36,45,18,782,367,110,2530,1324,613,0.3091,0.2772,0.1794,Med,Low,High
94484,9e5c875e-0119-2,Comprehensive Strategy,2024-01-10,94484_MCIF_20240110.csv,780,10,31,33,360,172,168,1990,448,788,0.1809,0.3839,0.2132,Low,Low,Med
94484,9e5c875e-0119-3,Comprehensive Strategy,2024-04-09,94484_MCIF_20240409.csv,433,68,9,48,498,66,198,1588,989,1077,0.3136,0.0667,0.1838,High,Med,Low
94484,9e5c875e-0119-4,Comprehensive Strategy,2024-07-08,94484_MCIF_20240708.csv,255,44,14,9,402,267,138,2017,697,743,0.1993,0.3831,0.1857,High,High,Med
94484,9e5c875e-0119-5,Comprehensive Strategy,2024-10-06,94484_MCIF_20241006.csv,145,61,22,37,782,197,304,1536,876,1226,0.5091,0.2249,0.248,Low,Med,Med
94485,9e5c875e-0120-1,Comprehensive Strategy,2023-10-19,94485_MCIF_20231019.csv,492,12,48,57,530,359,208,1082,652,976,0.4898,0.5506,0.2131,Med,Low,High
94485,9e5c875e-0120-2,Comprehensive Strategy,2024-01-17,94485_MCIF_20240117.csv,740,33,42,32,379,290,345,2213,942,1214,0.1713,0.3079,0.2842,Low,Med,High
94486,9e5c875e-0121-1,Comprehensive Strategy,2023-10-26,94486_MCIF_20231026.csv,512,14,34,10,621,303,227,2477,913,1653,0.2507,0.3319,0.1373,Med,Med,Med
94486,9e5c875e-0121-2,Comprehensive Strategy,2024-01-24,94486_MCIF_20240124.csv,735,69,31,8,318,256,343,820,1129,1754,0.3878,0.2267,0.1956,High,Low,Med
94486,9e5c875e-0121-3,Comprehensive Strategy,2024-04-23,94486_MCIF_20240423.csv,410,80,13,23,710,370,306,1315,778,1152,0.5399,0.4756,0.2656,Med,Low,Med
94486,9e5c875e-0121-4,Comprehensive Strategy,2024-07-22,94486_MCIF_20240722.csv,218,49,40,5,324,64,402,2070,509,1026,0.1565,0.1257,0.3918,Low,Med,High
94486,9e5c875e-0121-5,Comprehensive Strategy,2024-10-20,94486_MCIF_20241020.csv,117,73,50,23,430,108,316,1170,971,931,0.3675,0.1112,0.3394,Low,Low,Med
94487,9e5c875e-0122-1,Comprehensive Strategy,2023-11-02,94487_MCIF_20231102.csv,520,53,37,22,720,119,115,1785,1110,1264,0.4034,0.1072,0.091,High,Med,Low
94487,9e5c875e-0122-2,Comprehensive Strategy,2024-01-31,94487_MCIF_20240131.csv,788,67,39,35,505,350,376,2356,1051,980,0.2143,0.333,0.3837,Med,Med,Low
94487,9e5c875e-0122-3,Comprehensive Strategy,2024-04-30,94487_MCIF_20240430.csv,432,59,19,59,756,243,313,1915,636,1102,0.3948,0.3821,0.284,Med,High,Med
94487,9e5c875e-0122-4,Comprehensive Strategy,2024-07-29,94487_MCIF_20240729.csv,253,73,7,13,684,245,277,2543,1112,888,0.269,0.2203,0.3119,Low,Low,Med
94487,9e5c875e-0122-5,Comprehensive Strategy,2024-10-27,94487_MCIF_20241027.csv,143,28,31,60,302,275,131,1879,942,462,0.1607,0.2919,0.2835,Low,High,High
94488,9e5c875e-0123-1,Comprehensive Strategy,2023-11-09,94488_MCIF_20231109.csv,506,79,7,44,746,244,242,2529,1179,1541,0.295,0.207,0.157,High,High,Low
94488,9e5c875e-0123-2,Comprehensive Strategy,2024-02-07,94488_MCIF_20240207.csv,722,22,33,15,494,166,462,1179,810,963,0.419,0.2049,0.4798,Low,Med,High
94488,9e5c875e-0123-3,Comprehensive Strategy,2024-05-07,94488_MCIF_20240507.csv,435,57,32,14,247,216,487,861,716,1521,0.2869,0.3017,0.3202,High,Low,Med
94488,9e5c875e-0123-4,Comprehensive Strategy,2024-08-05,94488_MCIF_20240805.csv,260,20,44,60,779,399,485,1647,773,1143,0.473,0.5162,0.4243,Med,Low,Low
94488,9e5c875e-0123-5,Comprehensive Strategy,2024-11-03,94488_MCIF_20241103.csv,161,42,34,21,446,304,378,1239,741,1622,0.36,0.4103,0.233,Low,High,Med
94489,9e5c875e-0124-1,Comprehensive Strategy,2023-11-16,94489_MCIF_20231116.csv,524,48,17,29,506,377,297,2419,833,1532,0.2092,0.4526,0.1939,Med,High,High
94489,9e5c875e-0124-2,Comprehensive Strategy,2024-02-14,94489_MCIF_20240214.csv,734,12,47,30,590,342,263,2267,844,1167,0.2603,0.4052,0.2254,Med,High,Low
94489,9e5c875e-0124-3,Comprehensive Strategy,2024-05-14,94489_MCIF_20240514.csv,420,55,19,45,250,360,461,1767,853,1232,0.1415,0.422,0.3742,High,Low,Med
94489,9e5c875e-0124-4,Comprehensive Strategy,2024-08-12,94489_MCIF_20240812.csv,235,49,33,7,340,371,129,2125,1232,509,0.16,0.3011,0.2534,Low,Med,Low
94490,9e5c875e-0125-1,Comprehensive Strategy,2023-11-23,94490_MCIF_20231123.csv,495,77,37,22,625,139,182,1395,891,1231,0.448,0.156,0.1478,High,Med,Med
94490,9e5c875e-0125-2,Comprehensive Strategy,2024-02-21,94490_MCIF_20240221.csv,746,28,19,60,502,223,491,1237,902,945,0.4058,0.2472,0.5196,Low,Low,Low
94490,9e5c875e-0125-3,Comprehensive Strategy,2024-05-21,94490_MCIF_20240521.csv,417,43,39,12,606,335,267,1290,939,595,0.4698,0.3568,0.4487,Med,Med,Low
94491,9e5c875e-0126-1,Comprehensive Strategy,2023-11-30,94491_MCIF_20231130.csv,514,38,46,9,439,291,92,2207,1065,1063,0.1989,0.2732,0.0865,Low,Med,Low
94491,9e5c875e-0126-2,Comprehensive Strategy,2024-02-28,94491_MCIF_20240228.csv,768,14,24,36,509,382,289,1247,725,681,0.4082,0.5269,0.4244,High,High,High
94491,9e5c875e-0126-3,Comprehensive Strategy,2024-05-28,94491_MCIF_20240528.csv,486,63,42,52,750,119,278,2179,698,1684,0.3442,0.1705,0.1651,Low,High,Med
94491,9e5c875e-0126-4,Comprehensive Strategy,2024-08-26,94491_MCIF_20240826.csv,259,57,18,33,301,300,395,1636,786,762,0.184,0.3817,0.5184,Med,High,Med
94492,9e5c875e-0127-1,Comprehensive Strategy,2023-12-07,94492_MCIF_20231207.csv,513,68,10,47,567,81,283,1632,475,833,0.3474,0.1705,0.3397,High,Low,Low
94492,9e5c875e-0127-2,Comprehensive Strategy,2024-03-06,94492_MCIF_20240306.csv,747,36,9,58,221,75,482,1404,524,1039,0.1574,0.1431,0.4639,Low,High,Low
94493,9e5c875e-0128-1,Comprehensive Strategy,2023-12-14,94493_MCIF_20231214.csv,504,32,12,47,202,191,154,968,944,967,0.2087,0.2023,0.1593,High,High,High
94493,9e5c875e-0128-2,Comprehensive Strategy,2024-03-13,94493_MCIF_20240313.csv,718,43,8,13,566,171,381,1729,387,1037,0.3274,0.4419,0.3674,Low,Med,Low
94493,9e5c875e-0128-3,Comprehensive Strategy,2024-06-11,94493_MCIF_20240611.csv,386,75,42,11,316,82,323,1734,1078,1364,0.1822,0.0761,0.2368,Med,Low,High
94494,9e5c875e-0129-1,Comprehensive Strategy,2023-12-21,94494_MCIF_20231221.csv,523,72,50,33,231,81,325,1553,717,846,0.1487,0.113,0.3842,High,High,Med
94494,9e5c875e-0129-2,Comprehensive Strategy,2024-03-20,94494_MCIF_20240320.csv,743,80,50,25,351,83,144,1414,922,1642,0.2482,0.09,0.0877,Med,Low,Low
94495,9e5c875e-0130-1,Comprehensive Strategy,2023-12-28,94495_MCIF_20231228.csv,519,65,33,19,317,385,413,1946,1323,1153,0.1629,0.291,0.3582,Med,Med,Med
94495,9e5c875e-0130-2,Comprehensive Strategy,2024-03-27,94495_MCIF_20240327.csv,752,50,47,21,608,262,453,1302,782,1627,0.467,0.335,0.2784,Med,High,Low
94495,9e5c875e-0130-3,Comprehensive Strategy,2024-06-25,94495_MCIF_20240625.csv,429,22,28,56,685,84,126,1359,379,1310,0.504,0.2216,0.0962,High,Low,High
94495,9e5c875e-0130-4,Comprehensive Strategy,2024-09-23,94495_MCIF_20240923.csv,263,62,27,60,800,337,367,1975,1223,917,0.4051,0.2756,0.4002,Low,Med,Low
94496,9e5c875e-0131-1,Comprehensive Strategy,2024-01-04,94496_MCIF_20240104.csv,508,71,19,59,560,103,375,2099,520,991,0.2668,0.1981,0.3784,High,Med,Low
94496,9e5c875e-0131-2,Comprehensive Strategy,2024-04-03,94496_MCIF_20240403.csv,743,64,40,54,576,108,470,1646,895,1233,0.3499,0.1207,0.3812,Low,Low,Low
94497,9e5c875e-0132-1,Comprehensive Strategy,2024-01-11,94497_MCIF_20240111.csv,507,28,41,47,479,208,253,1697,414,924,0.2823,0.5024,0.2738,Med,High,High
94497,9e5c875e-0132-2,Comprehensive Strategy,2024-04-10,94497_MCIF_20240410.csv,701,63,34,26,231,96,462,1817,516,1532,0.1271,0.186,0.3016,High,Med,Med
94498,9e5c875e-0133-1,Comprehensive Strategy,2024-01-18,94498_MCIF_20240118.csv,495,72,43,33,250,395,121,1307,1048,1289,0.1913,0.3769,0.0939,Med,Med,High
94498,9e5c875e-0133-2,Comprehensive Strategy,2024-04-17,94498_MCIF_20240417.csv,744,72,38,47,724,108,256,2104,421,1136,0.3441,0.2565,0.2254,Med,High,High
94498,9e5c875e-0133-3,Comprehensive Strategy,2024-07-16,94498_MCIF_20240716.csv,400,37,13,53,604,356,108,1119,765,1025,0.5398,0.4654,0.1054,Med,Med,Med
94498,9e5c875e-0133-4,Comprehensive Strategy,2024-10-14,94498_MCIF_20241014.csv,244,58,39,50,322,53,334,1703,432,898,0.1891,0.1227,0.3719,High,Low,Low
94499,9e5c875e-0134-1,Comprehensive Strategy,2024-01-25,94499_MCIF_20240125.csv,494,61,50,45,670,89,240,2349,728,1714,0.2852,0.1223,0.14,Med,Med,High
94499,9e5c875e-0134-2,Comprehensive Strategy,2024-04-24,94499_MCIF_20240424.csv,709,56,10,32,614,60,246,1465,892,1488,0.4191,0.0673,0.1653,High,High,Med
94499,9e5c875e-0134-3,Comprehensive Strategy,2024-07-23,94499_MCIF_20240723.csv,431,38,26,54,610,318,120,1920,835,1115,0.3177,0.3808,0.1076,High,High,Low
94499,9e5c875e-0134-4,Comprehensive Strategy,2024-10-21,94499_MCIF_20241021.csv,246,54,46,57,316,321,341,1213,1315,1356,0.2605,0.2441,0.2515,High,High,High
94500,9e5c875e-0135-1,Comprehensive Strategy,2024-02-01,94500_MCIF_20240201.csv,506,67,48,41,277,140,475,2063,845,1725,0.1343,0.1657,0.2754,Low,Low,Low
94500,9e5c875e-0135-2,Comprehensive Strategy,2024-05-01,94500_MCIF_20240501.csv,712,70,33,45,530,371,241,1339,1021,680,0.3958,0.3634,0.3544,Med,Med,Low
94500,9e5c875e-0135-3,Comprehensive Strategy,2024-07-30,94500_MCIF_20240730.csv,421,67,7,8,257,230,339,908,747,1584,0.283,0.3079,0.214,Med,Med,High
94501,9e5c875e-0136-1,Comprehensive Strategy,2024-02-08,94501_MCIF_20240208.csv,522,34,25,43,794,333,485,1378,993,1955,0.5762,0.3353,0.2481,Med,Low,High
94501,9e5c875e-0136-2,Comprehensive Strategy,2024-05-08,94501_MCIF_20240508.csv,748,74,46,16,263,280,132,1466,1211,604,0.1794,0.2312,0.2185,High,High,Low
94502,9e5c875e-0137-1,Comprehensive Strategy,2024-02-15,94502_MCIF_20240215.csv,518,52,9,26,596,259,476,1788,1154,883,0.3333,0.2244,0.5391,High,Low,Low
94502,9e5c875e-0137-2,Comprehensive Strategy,2024-05-15,94502_MCIF_20240515.csv,752,52,10,42,595,195,209,2577,1067,816,0.2309,0.1828,0.2561,Low,High,Med
94502,9e5c875e-0137-3,Comprehensive Strategy,2024-08-13,94502_MCIF_20240813.csv,446,20,24,40,517,385,437,2373,986,1001,0.2179,0.3905,0.4366,Med,Low,Med
94502,9e5c875e-0137-4,Comprehensive Strategy,2024-11-11,94502_MCIF_20241111.csv,251,64,37,28,330,393,439,2233,1132,930,0.1478,0.3472,0.472,High,Med,Med
94502,9e5c875e-0137-5,Comprehensive Strategy,2025-02-09,94502_MCIF_20250209.csv,158,27,14,9,384,159,254,1879,555,1017,0.2044,0.2865,0.2498,Med,High,Low
94503,9e5c875e-0138-1,Comprehensive Strategy,2024-02-22,94503_MCIF_20240222.csv,511,31,33,7,334,355,272,1149,721,942,0.2907,0.4924,0.2887,Med,Med,Low
94503,9e5c875e-0138-2,Comprehensive Strategy,2024-05-22,94503_MCIF_20240522.csv,767,39,39,20,443,277,392,1526,1247,1611,0.2903,0.2221,0.2433,Med,Med,High
94504,9e5c875e-0139-1,Comprehensive Strategy,2024-02-29,94504_MCIF_20240229.csv,518,42,8,46,740,264,162,1648,1083,745,0.449,0.2438,0.2174,Med,Med,Low
94504,9e5c875e-0139-2,Comprehensive Strategy,2024-05-29,94504_MCIF_20240529.csv,748,44,33,37,305,314,143,1388,599,771,0.2197,0.5242,0.1855,High,Med,High
94504,9e5c875e-0139-3,Comprehensive Strategy,2024-08-27,94504_MCIF_20240827.csv,414,60,37,28,427,280,258,981,904,667,0.4353,0.3097,0.3868,High,Med,High
94504,9e5c875e-0139-4,Comprehensive Strategy,2024-11-25,94504_MCIF_20241125.csv,234,28,13,7,583,164,94,1735,465,1080,0.336,0.3527,0.087,Med,Med,Low
94505,9e5c875e-0140-1,Comprehensive Strategy,2024-03-07,94505_MCIF_20240307.csv,520,77,32,12,281,59,211,1222,412,1634,0.23,0.1432,0.1291,Med,High,Med
94505,9e5c875e-0140-2,Comprehensive Strategy,2024-06-05,94505_MCIF_20240605.csv,750,18,12,58,324,74,202,1683,928,1438,0.1925,0.0797,0.1405,Med,Low,Low
94505,9e5c875e-0140-3,Comprehensive Strategy,2024-09-03,94505_MCIF_20240903.csv,390,47,32,5,216,373,343,1893,820,937,0.1141,0.4549,0.3661,Low,Med,High
94506,9e5c875e-0141-1,Comprehensive Strategy,2024-03-14,94506_MCIF_20240314.csv,501,59,35,7,738,328,339,2277,1095,680,0.3241,0.2995,0.4985,Low,Med,Med
94506,9e5c875e-0141-2,Comprehensive Strategy,2024-06-12,94506_MCIF_20240612.csv,737,23,42,52,459,58,262,1097,611,1055,0.4184,0.0949,0.2483,Med,High,High
94506,9e5c875e-0141-3,Comprehensive Strategy,2024-09-10,94506_MCIF_20240910.csv,390,71,45,16,560,329,253,2376,708,1504,0.2357,0.4647,0.1682,High,High,Low
94506,9e5c875e-0141-4,Comprehensive Strategy,2024-12-09,94506_MCIF_20241209.csv,248,15,25,24,668,68,230,1580,312,938,0.4228,0.2179,0.2452,Low,Med,Low
